NCTId,Biological:,Device:,Diagnostic,Dietary,Drug:,Genetic:,Other:,Procedure:
NCT00121108,2,0,0,0,0,0,2,0
NCT00312663,4,0,0,0,0,0,0,0
NCT00312702,4,0,0,0,0,0,0,0
NCT00351741,0,4,0,0,0,0,0,0
NCT00385047,4,0,0,0,0,0,0,0
NCT00412568,0,0,0,0,0,0,0,2
NCT00413673,0,0,0,0,0,0,0,2
NCT00601835,4,0,0,0,0,0,0,0
NCT00646438,0,0,0,0,2,0,0,0
NCT00666380,4,0,0,0,0,0,0,0
NCT00730964,0,0,0,0,2,0,0,0
NCT00796315,0,0,0,0,2,0,0,0
NCT00800267,0,0,0,0,6,0,0,0
NCT00875641,0,0,0,0,0,0,6,0
NCT00928694,0,0,0,0,4,0,0,0
NCT00935623,4,0,0,0,0,0,0,0
NCT00959933,0,0,0,0,4,0,0,0
NCT00960479,0,0,0,0,4,0,0,0
NCT01028300,0,2,0,0,0,0,0,0
NCT01087905,0,0,0,0,24,0,0,0
NCT01112917,0,2,0,0,0,0,0,2
NCT01150695,4,0,0,0,0,0,4,0
NCT01153880,0,0,0,0,24,0,0,0
NCT01235260,0,0,0,0,2,0,2,0
NCT01256164,0,4,0,0,0,0,0,0
NCT01287247,4,0,0,0,0,0,0,0
NCT01290393,0,0,0,0,0,0,4,0
NCT01306266,0,0,0,0,4,0,0,0
NCT01339546,0,0,0,0,0,0,2,0
NCT01358552,0,0,0,0,0,0,2,0
NCT01368549,0,0,0,0,0,0,2,0
NCT01369030,0,0,0,0,0,0,2,0
NCT01370954,0,0,0,0,0,0,2,0
NCT01568424,0,2,0,0,0,0,0,0
NCT01599390,0,0,0,0,0,0,2,0
NCT01629537,0,0,0,0,0,0,0,4
NCT01641029,0,0,0,0,0,0,2,0
NCT01704235,0,0,0,0,0,0,2,0
NCT01764269,0,0,0,0,0,0,4,0
NCT01927835,26,0,0,0,0,0,0,0
NCT01940679,0,0,0,8,0,0,0,0
NCT01965561,0,8,0,0,0,0,0,0
NCT02019732,0,0,0,0,0,0,2,0
NCT02053506,0,0,0,8,0,0,0,0
NCT02109757,0,0,0,0,0,0,4,0
NCT02128542,0,0,0,0,4,0,0,0
NCT02163525,0,0,0,0,0,0,0,8
NCT02207569,0,2,0,0,0,0,0,0
NCT02334462,16,0,0,0,4,0,0,0
NCT02352532,0,0,0,0,0,0,6,0
NCT02395536,0,0,0,0,0,0,4,0
NCT02406599,0,2,0,0,0,0,2,0
NCT02569632,2,0,0,0,0,0,0,0
NCT02616198,0,0,0,0,0,0,24,0
NCT02746809,0,2,0,0,0,0,0,0
NCT02766634,8,0,0,0,0,0,0,0
NCT02766647,8,0,0,0,0,0,0,0
NCT02773979,6,0,0,0,6,0,4,0
NCT02813577,0,2,0,0,0,0,0,0
NCT02829073,0,4,0,0,0,0,0,0
NCT02848781,0,4,0,0,0,0,0,4
NCT02867722,0,0,0,0,2,0,0,0
NCT02882100,6,0,0,0,0,0,0,0
NCT02886689,0,0,0,0,2,0,0,0
NCT02951598,0,0,0,0,8,0,0,0
NCT02959827,0,0,0,0,2,0,0,0
NCT02987335,0,0,0,0,8,0,0,0
NCT03197688,0,0,0,0,0,0,2,0
NCT03198793,0,0,0,0,2,0,0,0
NCT03199846,0,0,0,0,0,0,12,0
NCT03242278,0,0,0,0,4,0,0,0
NCT03276637,0,0,0,0,0,2,0,0
NCT03311295,0,2,0,0,0,0,0,0
NCT03353480,0,0,0,0,4,0,0,0
NCT03382418,6,0,0,0,0,0,0,0
NCT03390660,0,0,0,0,0,0,2,0
NCT03631472,0,2,0,0,0,0,0,0
NCT03683134,0,0,0,2,0,0,0,0
NCT03801928,0,0,0,0,4,0,0,0
NCT03933202,0,0,0,0,2,0,0,0
NCT03933215,0,0,0,0,2,0,0,0
NCT03965195,4,0,0,0,0,0,0,0
NCT03972358,0,0,0,0,4,0,0,0
NCT03973905,0,0,0,0,0,0,4,0
NCT04072289,0,2,0,0,0,0,0,0
NCT04191824,0,0,4,0,0,0,0,0
NCT04205877,0,2,0,0,0,0,0,0
NCT04229212,0,2,0,0,0,0,0,0
NCT04281290,0,0,0,0,0,0,0,2
NCT04371159,0,2,0,0,0,0,0,0
NCT04423770,0,0,0,0,0,0,2,0
NCT04474496,0,0,0,0,0,0,2,0
NCT04552535,0,0,0,0,4,0,0,0
NCT04562636,0,0,0,0,0,0,6,0
NCT04587245,0,0,0,0,0,0,2,0
