NCTId,Active Comparator,Experimental,No Intervention,Other,Placebo Comparator,Sham Comparator
NCT00121108,1,0,0,0,1,0
NCT00312663,0,1,0,0,0,0
NCT00312702,0,1,0,0,0,0
NCT00351741,1,1,0,0,0,0
NCT00385047,0,1,0,0,0,0
NCT00412568,1,0,0,0,0,0
NCT00413673,0,1,0,0,0,0
NCT00601835,1,1,0,0,0,0
NCT00646438,1,0,1,0,0,0
NCT00666380,0,1,0,0,0,0
NCT00724867,0,1,0,0,0,0
NCT00730964,0,0,0,1,0,0
NCT00796315,0,1,0,0,0,0
NCT00800267,1,1,0,0,0,0
NCT00928694,1,0,0,0,0,0
NCT00935623,0,1,0,0,0,0
NCT00959933,1,1,0,0,0,0
NCT00960479,1,1,0,0,0,0
NCT01028300,0,0,0,1,0,0
NCT01087905,1,0,0,0,0,0
NCT01112917,0,1,0,0,0,0
NCT01150695,0,1,0,0,0,0
NCT01154296,0,1,1,0,0,0
NCT01256164,1,1,0,0,0,0
NCT01306266,1,0,0,0,1,0
NCT01568424,0,0,0,1,0,0
NCT01629537,0,1,0,1,0,0
NCT01764269,0,0,0,1,0,0
NCT01861210,1,1,0,0,0,0
NCT01873482,0,1,0,0,0,0
NCT01927835,0,1,0,0,1,0
NCT01940679,0,1,0,0,0,0
NCT01965561,0,1,0,0,0,0
NCT02053506,0,1,0,0,0,0
NCT02069925,1,1,0,0,0,0
NCT02109757,1,1,0,0,0,0
NCT02128542,0,1,0,0,0,0
NCT02163525,1,0,0,0,0,0
NCT02207569,0,1,0,0,0,0
NCT02334462,1,1,0,0,0,0
NCT02352532,1,1,0,0,0,1
NCT02395536,0,1,0,1,0,0
NCT02406599,0,0,0,1,0,0
NCT02569632,0,1,0,0,0,0
NCT02616198,1,0,0,0,0,0
NCT02663219,0,1,1,0,0,0
NCT02746809,0,1,0,0,0,0
NCT02766634,0,1,0,0,0,0
NCT02766647,0,1,0,0,0,0
NCT02773979,1,0,0,0,0,0
NCT02787538,1,1,0,0,0,0
NCT02801266,0,1,1,0,0,0
NCT02813577,0,0,0,1,0,0
NCT02829073,0,1,0,0,1,0
NCT02848781,1,1,0,0,0,0
NCT02867722,0,1,0,0,0,0
NCT02882100,1,1,0,0,0,0
NCT02939131,1,1,0,0,0,0
NCT02951598,0,0,0,1,0,0
NCT02971709,0,1,1,0,0,0
NCT03198793,0,1,0,0,0,0
NCT03276637,0,1,0,0,0,0
NCT03293875,0,0,0,1,0,0
NCT03310112,1,1,1,0,0,0
NCT03311295,0,1,0,0,0,0
NCT03353480,0,1,0,1,0,0
NCT03382418,0,1,0,0,1,0
NCT03631472,0,1,0,0,0,0
NCT03683134,1,1,0,0,0,0
NCT03688126,0,1,0,0,0,0
NCT03699709,0,1,1,0,0,0
NCT03867409,0,1,0,0,0,0
NCT03924505,1,1,0,0,0,0
NCT03965195,1,1,0,0,0,0
NCT03972358,0,1,0,0,0,0
NCT03995745,0,1,1,0,0,0
NCT04004260,0,1,0,1,0,0
NCT04021030,0,1,0,0,0,0
NCT04072289,0,1,1,0,0,0
NCT04163341,0,1,1,0,0,0
NCT04191824,1,0,0,0,0,0
NCT04229212,0,1,1,0,0,0
NCT04263311,0,1,1,0,0,0
NCT04281290,0,1,0,0,0,0
NCT04371159,0,1,0,0,0,0
NCT04562636,0,1,0,1,0,0
